综合一
NO.3 | 评分: 92.9 | 中位速度: 3.60 MB/s | 最低速度: 3.54 MB/s | 延迟: 66ms | 抖动: 2ms | IP地址: [2401:b60:5:9f2d:2329:b99:4122:c6bc]:8443 | 地区: HKG 香港
NO.4 | 评分: 91.6 | 中位速度: 8.56 MB/s | 最低速度: 8.16 MB/s | 延迟: 78ms | 抖动: 3ms | IP地址: [2406:da14:3c:b002:ee6e:e07d:440c:5ec6]:443 | 地区: NRT 日本东京
NO.5 | 评分: 91.5 | 中位速度: 8.17 MB/s | 最低速度: 5.91 MB/s | 延迟: 83ms | 抖动: 1ms | IP地址: [2403:71c0:2000:1b59::a]:443 | 地区: NRT 日本东京
NO.6 | 评分: 91.3 | 中位速度: 15.32 MB/s | 最低速度: 15.16 MB/s | 延迟: 77ms | 抖动: 5ms | IP地址: [2407:cdc0:800c::83]:443 | 地区: NRT 日本东京
NO.7 | 评分: 90.8 | 中位速度: 9.75 MB/s | 最低速度: 6.99 MB/s | 延迟: 81ms | 抖动: 6ms | IP地址: [2406:da14:fc6:3d00:cc4a:973a:422b:f14]:443 | 地区: NRT 日本东京
NO.8 | 评分: 90.7 | 中位速度: 9.45 MB/s | 最低速度: 9.12 MB/s | 延迟: 83ms | 抖动: 5ms | IP地址: [2406:da14:3c:b000:477b:f992:75f3:aa86]:443 | 地区: NRT 日本东京
NO.9 | 评分: 90.7 | 中位速度: 12.52 MB/s | 最低速度: 11.66 MB/s | 延迟: 93ms | 抖动: 0ms | IP地址: [2402:a7c0:3003:113:1c00:27ff:fe00:ac9]:443 | 地区: SIN 新加坡
NO.10 | 评分: 90.7 | 中位速度: 8.46 MB/s | 最低速度: 3.97 MB/s | 延迟: 81ms | 抖动: 6ms | IP地址: [2406:da14:6e8:a500:fadd:38c8:ecb9:9eff]:443 | 地区: NRT 日本东京
NO.11 | 评分: 90.6 | 中位速度: 12.77 MB/s | 最低速度: 10.64 MB/s | 延迟: 94ms | 抖动: 0ms | IP地址: [2400:6180:0:d2:0:3:1035:2000]:443 | 地区: SIN 新加坡
NO.12 | 评分: 90.6 | 中位速度: 17.92 MB/s | 最低速度: 17.47 MB/s | 延迟: 82ms | 抖动: 6ms | IP地址: [2a0f:b240:19:99::a]:443 | 地区: NRT 日本东京
NO.13 | 评分: 90.5 | 中位速度: 17.29 MB/s | 最低速度: 15.11 MB/s | 延迟: 82ms | 抖动: 6ms | IP地址: [2407:cdc0:800c::84]:443 | 地区: NRT 日本东京
NO.14 | 评分: 90.1 | 中位速度: 15.61 MB/s | 最低速度: 14.36 MB/s | 延迟: 81ms | 抖动: 9ms | IP地址: [2a14:7586:6109:1:be24:11ff:fe20:688d]:443 | 地区: NRT 日本东京
NO.15 | 评分: 90.0 | 中位速度: 8.31 MB/s | 最低速度: 7.91 MB/s | 延迟: 88ms | 抖动: 6ms | IP地址: [2001:df1:7880:100::1b3]:443 | 地区: HKG 香港
NO.16 | 评分: 90.0 | 中位速度: 9.85 MB/s | 最低速度: 6.93 MB/s | 延迟: 88ms | 抖动: 6ms | IP地址: [2402:a7c0:3003:111:1c00:a3ff:fe00:863]:8443 | 地区: SIN 新加坡
NO.17 | 评分: 90.0 | 中位速度: 5.21 MB/s | 最低速度: 5.13 MB/s | 延迟: 66ms | 抖动: 17ms | IP地址: [2a0e:97c0:7d7:e93:8925:f34b:801a:dddf]:443 | 地区: HKG 香港
NO.18 | 评分: 89.8 | 中位速度: 8.76 MB/s | 最低速度: 6.31 MB/s | 延迟: 94ms | 抖动: 4ms | IP地址: [2001:df1:7880:100::c9c]:443 | 地区: HKG 香港
NO.19 | 评分: 89.8 | 中位速度: 11.73 MB/s | 最低速度: 11.73 MB/s | 延迟: 87ms | 抖动: 8ms | IP地址: [2605:e440:16::1f0]:2053 | 地区: SIN 新加坡
NO.20 | 评分: 89.7 | 中位速度: 10.18 MB/s | 最低速度: 7.01 MB/s | 延迟: 92ms | 抖动: 5ms | IP地址: [2400:6180:0:d2:0:2:db9f:f000]:443 | 地区: SIN 新加坡
NO.21 | 评分: 89.4 | 中位速度: 5.06 MB/s | 最低速度: 4.95 MB/s | 延迟: 86ms | 抖动: 10ms | IP地址: [2402:c480:3001:1504:1c00:15ff:fe00:6d8]:443 | 地区: NRT 日本东京
NO.22 | 评分: 89.4 | 中位速度: 10.43 MB/s | 最低速度: 8.28 MB/s | 延迟: 84ms | 抖动: 11ms | IP地址: [2406:da14:3c:b001:e:d89d:c7f:1fbc]:443 | 地区: NRT 日本东京
NO.23 | 评分: 89.3 | 中位速度: 11.55 MB/s | 最低速度: 11.51 MB/s | 延迟: 87ms | 抖动: 10ms | IP地址: [2400:6180:0:d2:0:2:daf1:b000]:443 | 地区: SIN 新加坡
NO.24 | 评分: 89.3 | 中位速度: 9.26 MB/s | 最低速度: 6.72 MB/s | 延迟: 85ms | 抖动: 11ms | IP地址: [2602:fa4f:b00:555c:3e6c:b00d:96cc:cf47]:443 | 地区: NRT 日本东京
