==========================================================
   YouTube 专用优选排名（综合速度+延迟+稳定性，第一行最优）
==========================================================

说明：评分综合考虑了下载速度（超过25Mbps不再加分，4K够用）、
连接延迟、以及网络抖动（稳定性），而不是单纯速度越快越靠前。

NO.33 | 评分: 56.7 | 中位速度: 1.47 MB/s | 最低速度: 979 KB/s | 延迟: 88ms | 抖动: 3ms | IP地址: 178.239.117.205:8443 | 地区: 未知地区
NO.34 | 评分: 56.2 | 中位速度: 2.52 MB/s | 最低速度: 1.24 MB/s | 延迟: 110ms | 抖动: 18ms | IP地址: 104.105.128.153:443 | 地区: 未知地区
NO.35 | 评分: 54.7 | 中位速度: 1.18 MB/s | 最低速度: 1.02 MB/s | 延迟: 93ms | 抖动: 16ms | IP地址: 175.29.23.34:443 | 地区: 未知地区
NO.36 | 评分: 54.5 | 中位速度: 992 KB/s | 最低速度: 788 KB/s | 延迟: 64ms | 抖动: 10ms | IP地址: 68.64.182.121:443 | 地区: 未知地区
NO.37 | 评分: 53.4 | 中位速度: 1.14 MB/s | 最低速度: 977 KB/s | 延迟: 96ms | 抖动: 15ms | IP地址: 152.42.254.219:443 | 地区: 未知地区
NO.38 | 评分: 51.4 | 中位速度: 1.08 MB/s | 最低速度: 858 KB/s | 延迟: 96ms | 抖动: 15ms | IP地址: 168.144.97.78:443 | 地区: 未知地区
NO.39 | 评分: 50.8 | 中位速度: 75 KB/s | 最低速度: 46 KB/s | 延迟: 0ms | 抖动: 0ms | IP地址: 178.83.206.250:443 | 地区: 未知地区
NO.40 | 评分: 50.4 | 中位速度: 1.43 MB/s | 最低速度: 904 KB/s | 延迟: 98ms | 抖动: 23ms | IP地址: 175.29.23.179:443 | 地区: 未知地区
NO.41 | 评分: 49.5 | 中位速度: 905 KB/s | 最低速度: 694 KB/s | 延迟: 105ms | 抖动: 7ms | IP地址: 139.162.70.21:443 | 地区: 未知地区
NO.42 | 评分: 49.4 | 中位速度: 1.16 MB/s | 最低速度: 507 KB/s | 延迟: 89ms | 抖动: 0ms | IP地址: 5.34.220.83:443 | 地区: 未知地区
NO.43 | 评分: 47.9 | 中位速度: 418 KB/s | 最低速度: 418 KB/s | 延迟: 81ms | 抖动: 5ms | IP地址: 188.253.6.249:443 | 地区: 未知地区
NO.44 | 评分: 47.8 | 中位速度: 914 KB/s | 最低速度: 631 KB/s | 延迟: 122ms | 抖动: 2ms | IP地址: 64.204.49.136:443 | 地区: 未知地区
NO.45 | 评分: 47.3 | 中位速度: 391 KB/s | 最低速度: 378 KB/s | 延迟: 86ms | 抖动: 1ms | IP地址: 144.48.4.159:443 | 地区: 未知地区
NO.46 | 评分: 47.2 | 中位速度: 668 KB/s | 最低速度: 534 KB/s | 延迟: 71ms | 抖动: 22ms | IP地址: 85.121.51.205:443 | 地区: 未知地区
NO.47 | 评分: 46.3 | 中位速度: 1.13 MB/s | 最低速度: 373 KB/s | 延迟: 94ms | 抖动: 2ms | IP地址: 172.104.49.9:443 | 地区: 未知地区
NO.48 | 评分: 45.7 | 中位速度: 890 KB/s | 最低速度: 507 KB/s | 延迟: 98ms | 抖动: 14ms | IP地址: 168.144.45.134:8443 | 地区: 未知地区
NO.49 | 评分: 45.3 | 中位速度: 1.22 MB/s | 最低速度: 639 KB/s | 延迟: 107ms | 抖动: 22ms | IP地址: 178.128.223.148:443 | 地区: 未知地区
NO.50 | 评分: 45.2 | 中位速度: 76 KB/s | 最低速度: 74 KB/s | 延迟: 60ms | 抖动: 0ms | IP地址: 163.5.58.140:443 | 地区: 未知地区
NO.51 | 评分: 45.0 | 中位速度: 2.07 MB/s | 最低速度: 259 KB/s | 延迟: 77ms | 抖动: 8ms | IP地址: 85.121.51.14:2087 | 地区: 未知地区
NO.52 | 评分: 44.7 | 中位速度: 74 KB/s | 最低速度: 59 KB/s | 延迟: 61ms | 抖动: 1ms | IP地址: 141.11.149.78:443 | 地区: 未知地区
NO.53 | 评分: 44.7 | 中位速度: 75 KB/s | 最低速度: 68 KB/s | 延迟: 61ms | 抖动: 2ms | IP地址: 163.5.58.77:443 | 地区: 未知地区
NO.54 | 评分: 44.6 | 中位速度: 87 KB/s | 最低速度: 62 KB/s | 延迟: 64ms | 抖动: 0ms | IP地址: 45.152.65.100:443 | 地区: 未知地区
